lemma|pos|#occurences
reference|n|287
bottom|n|286
outside|r|286
daily|a|286
play|n|286
love|n|286
bank|n|285
apartment|n|285
total|a|285
north|r|285
basic|a|285
fish|n|285
layer|n|285
downtown|n|285
federal|a|285
troop|n|285
replace|v|284
foreign|a|284
demonstrate|v|284
record|v|284
transport|n|284
assume|v|282
error|n|282
gene|n|282
generate|v|281
spring|n|281
tend|v|281
version|n|280
army|n|280
order|v|280
trail|n|279
cheap|a|278
financial|a|278
eventually|r|278
notice|v|278
additional|a|278
healthy|a|278
heat|n|278
south|r|278
council|n|278
platform|n|277
clean|a|277
dark|a|277
aim|v|276
text|n|276
head|v|276
variable|n|276
public|n|275
phase|n|275
hospital|n|274
push|v|274
hair|n|274
collect|v|273
likely|r|272
newspaper|n|272
numerous|a|272
guide|n|272
trial|n|272
south|n|272
highly|r|271
victim|n|271
facility|n|271
college|n|270
contact|n|270
document|n|270
infection|n|270
interested|a|269
list|v|269
interaction|n|269
thank|v|268
stress|n|268
investment|n|268
club|n|268
incident|n|268
stop|n|268
distribution|n|267
capacity|n|267
engage|v|267
deal|n|266
horse|n|266
theory|n|265
yesterday|n|265
benefit|n|265
topic|n|265
branch|n|265
own|v|264
arrest|v|264
hill|n|264
comment|n|263
reveal|v|263
manner|n|263
fast|a|262
blue|a|262
release|n|262
literature|n|262
staff|n|262
fan|n|261
useful|a|261
handle|v|261
independent|a|261
visit|n|261
majority|n|260
gold|n|260
crisis|n|260
cry|v|259
fully|r|259
sun|n|259
sustainable|a|259
gun|n|258
intend|v|258
relation|n|258
forward|r|258
destroy|v|258
bill|n|258
measurement|n|258
participate|v|257
requirement|n|257
host|n|257
ferry|n|257
throw|v|256
garden|n|256
vary|v|256
passenger|n|256
reflect|v|255
bag|n|255
extend|v|254
fresh|a|254
rich|a|254
teacher|n|254
director|n|254
sign|v|253
relatively|r|253
prefer|v|253
characteristic|n|253
penalty|n|253
ahead|r|252
set_up|v|252
negative|a|252
generation|n|252
wave|n|251
mechanism|n|251
approximately|r|251
speech|n|251
attract|v|251
test|v|250
cross|v|250
mass|n|250
ward|n|250
conference|n|250
university|n|249
responsibility|n|249
manager|n|249
leg|n|249
outcome|n|249
concentration|n|249
survive|v|248
email|n|248
individual|a|248
adopt|v|248
train|v|248
analyze|v|248
evening|n|248
protein|n|248
relevant|a|247
fly|v|247
forget|v|247
capture|v|247
protest|n|247
improvement|n|246
normal|a|246
drive|n|246
comfortable|a|246
landscape|n|246
dish|n|246
sale|n|245
doctor|n|245
exactly|r|244
race|n|244
run|n|244
commit|v|244
northern|a|244
perfect|a|243
search|v|243
failure|n|243
drink|v|243
request|n|243
estimate|v|243
cultural|a|243
importance|n|243
weather|n|243
soldier|n|243
answer|n|242
shape|n|242
journey|n|242
mark|v|242
audience|n|242
frequency|n|242
though|r|241
aware|a|241
decade|n|241
instance|n|241
flower|n|241
lady|n|240
charge|v|240
call|n|240
refuse|v|240
selection|n|240
possibly|r|239
basis|n|239
attack|v|238
appropriate|a|238
perspective|n|238
cool|a|237
otherwise|r|237
extra|a|237
critical|a|237
implement|v|237
signal|n|237
moreover|r|237
extremely|r|236
lead|n|236
professional|a|236
dance|n|235
primary|a|235
birth|n|235
setting|n|235
declare|v|235
journalist|n|235
taxis|n|235
shoot|v|234
software|n|234
politics|n|234
fair|a|234
bridge|n|234
entrance|n|234
belief|n|234
scale|n|233
mission|n|233
fee|n|233
wood|n|232
principle|n|232
significantly|r|232
belong|v|232
cancer|n|231
budget|n|231
pull|v|231
turn|n|231
calculate|v|231
gather|v|231
neighborhood|n|231
engine|n|231
sound|v|230
contact|v|230
resolution|n|230
hole|n|229
brain|n|229
sight|n|229
fund|n|229
solve|v|229
find_out|v|229
mix|v|229
seed|n|229
slowly|r|228
warm|a|228
employ|v|228
parking|n|228
status|n|227
accuse|v|227
decrease|v|227
consumption|n|226
income|n|226
dollar|n|226
youth|n|226
strength|n|226
violence|n|226
web|n|225
pick_up|v|225
expensive|a|225
crowd|n|225
square|n|225
wonder|v|224
trouble|n|224
date|v|224
stone|n|224
beginning|n|224
divide|v|224
understanding|n|224
above|r|224
complex|a|224
issue|v|224
found|v|223
enemy|n|222
clearly|r|222
concern|v|222
hurt|v|221
advice|n|221
hang|v|221
laugh|v|221
edition|n|221
ancient|a|221
print|v|221
score|n|220
address|n|220
thousand|n|220
display|v|220
second|n|219
medical|a|219
context|n|219
twice|r|219
resistance|n|219
standard|n|219
means|n|219
unknown|a|218
spread|v|218
complete|a|218
conversation|n|218
difficulty|n|218
assessment|n|218
defeat|v|218
shot|n|217
approach|v|217
post|v|217
repeat|v|217
settle|v|217
expand|v|217
mouse|n|217
county|n|216
chair|n|216
certainly|r|215
hide|v|215
agent|n|215
surgery|n|215
examine|v|215
equipment|n|215
conflict|n|215
science|n|215
domain|n|215
respectively|r|215
fit|v|214
average|a|214
escape|v|214
suddenly|r|214
typically|r|214
efficiency|n|214
pair|n|213
thanks|n|213
good|n|213
act|n|213
shopping|n|213
middle|n|213
administration|n|213
view|v|213
opposition|n|213
injury|n|212
deliver|v|212
competition|n|212
meal|n|212
southern|a|212
possibility|n|211
writer|n|211
burn|v|211
excellent|a|211
institution|n|211
talk|n|210
specifically|r|210
link|v|210
mental|a|210
dinner|n|210
reply|v|210
fruit|n|210
integrate|v|210
sensor|n|210
widely|r|209
television|n|209
guess|v|209
chief|n|209
category|n|209
association|n|209
la|n|209
convert|v|208
dry|a|208
sex|n|208
festival|n|208
daily|r|208
slow|a|208
drink|n|208
voter|n|208
battle|n|207
overall|a|207
i.e.|r|207
gift|n|207
sentence|n|207
reduction|n|207
strange|a|206
initial|a|206
code|n|206
truth|n|206
accident|n|206
finger|n|206
furthermore|r|206
beat|v|205
oppose|v|205
come_up|v|205
sing|v|205
cook|v|205
coach|n|205
bury|v|205
finding|n|205
master|n|204
assess|v|204
annual|a|204
carry_out|v|204
start|n|203
experiment|n|203
freedom|n|203
digital|a|202
agreement|n|202
proper|a|202
commercial|a|202
imagine|v|201
actual|a|201
bone|n|201
household|n|201
hope|n|200
absolutely|r|200
pain|n|200
past|n|199
hard|r|199
bird|n|199
near|a|199
clothes|n|199
potential|n|199
conclusion|n|199
organize|v|199
demand|v|198
emergency|n|198
murder|n|198
coffee|n|198
deny|v|197
skin|n|197
van|n|197
screen|n|196
aircraft|n|196
housing|n|196
protection|n|196
western|a|196
procedure|n|196
ice|n|196
preserve|v|196
argue|v|195
noise|n|195
attach|v|195
comparison|n|195
definitely|r|195
zone|n|195
